Rank,RMSE,Length,Model Equation
211,0.7887,11,"div(add(La, E), add(div(La, Pr), div(IE, EN)))"
212,0.7887,11,"div(add(La, E), add(div(IE, EN), div(La, Gd)))"
213,0.7890,13,"mul(0.482, add(M, mul(E, div(EN, add(div(-6.269, Sm), 6.714)))))"
214,0.7891,19,"add(div(add(-4.976, R), 2.466), add(div(sub(La, IE), Nd), add(div(sub(La, IE), Nd), EN)))"
215,0.7893,11,"mul(0.482, add(M, mul(add(-1.174, E), div(7.448, La))))"
216,0.7894,9,"mul(0.482, add(M, div(E, div(La, 6.293))))"
217,0.7896,19,"add(EN, div(add(IE, mul(neg(R), div(add(div(add(2.095, R), EN), R), EN))), neg(Nd)))"
218,0.7897,12,"mul(0.482, add(M, add(mul(div(-5.584, La), neg(E)), 0.482)))"
219,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Gd)))"
220,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
221,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Gd)))"
222,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
223,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
224,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
225,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Gd)))"
226,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Gd)))"
227,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
228,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Pr)))"
229,0.7901,11,"div(add(E, E), add(div(E, EN), div(IE, Gd)))"
230,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Pr)))"
231,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Pr)))"
232,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Pr)))"
233,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Pr)))"
234,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Gd)))"
235,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Gd)))"
236,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Gd)))"
237,0.7901,11,"div(add(Sm, EN), add(div(Sm, E), div(IE, Pr)))"
238,0.7901,11,"div(add(EN, Sm), add(div(Sm, E), div(IE, Pr)))"
239,0.7910,21,"add(add(add(add(EN, div(sub(R, IE), E)), div(sub(R, EN), Nd)), div(sub(R, EN), Nd)), 0.264)"
240,0.7912,9,"mul(0.482, add(M, mul(div(6.332, La), E)))"
241,0.7914,9,"mul(0.482, add(M, div(6.335, div(La, E))))"
242,0.7918,15,"div(add(R, E), add(div(La, mul(0.482, add(M, LAS))), div(Y, IE)))"
243,0.7920,13,"mul(0.482, add(M, add(EN, div(sub(EN, E), sub(Nd, Gd)))))"
244,0.7933,13,"mul(0.482, add(M, div(mul(EN, add(div(Pr, Sm), E)), Pr)))"
