Rank,RMSE,Length,Model Equation
99,0.5120,42,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(7.837, E), add(div(sub(Pr, E), mul(add(sub(M, E), EN), mul(Gd, div(sub(Pr, R), E)))), E)), E))"
100,0.5120,36,"add(div(add(div(neg(R), sub(M, E)), M), mul(sub(R, Y), mul(Gd, E))), add(div(sub(Sm, E), add(div(add(sub(Pr, E), E), sub(Pr, E)), sub(La, E))), E))"
101,0.5127,38,"add(div(add(div(div(neg(Y), div(sub(M, E), R)), EN), EN), mul(sub(R, Y), mul(Gd, Nd))), add(div(sub(Sm, add(div(neg(Y), add(neg(sub(M, E)), E)), E)), E), E))"
102,0.5130,47,"add(div(add(div(div(neg(Ce), div(add(neg(E), M), La)), E), EN), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(div(sub(Sm, div(div(sub(Pr, E), E), neg(add(mul(La, Ce), E)))), neg(E)), E)), E))"
103,0.5134,42,"add(div(add(div(add(div(neg(La), div(add(neg(E), M), Y)), mul(sub(R, Y), mul(Gd, LAS))), add(add(Nd, E), neg(R))), EN), mul(sub(R, Y), mul(EN, LAS))), add(div(sub(Pr, E), E), E))"
104,0.5135,38,"add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(EN, Nd))), add(div(sub(Pr, E), add(div(add(neg(sub(Sm, E)), M), div(neg(La), sub(M, E))), E)), E))"
105,0.5135,35,"add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Gd, Nd))), add(div(sub(Pr, E), add(div(sub(Sm, sub(div(E, E), M)), neg(Nd)), E)), E))"
106,0.5136,49,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(IE, Nd))), add(div(sub(Sm, E), add(div(M, neg(mul(div(add(div(sub(EN, Y), mul(add(E, Y), mul(sub(R, Y), mul(LAS, Gd)))), Y), Pr), E))), E)), E))"
107,0.5138,68,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(EN, LAS))), add(div(sub(Pr, E), add(div(add(div(neg(R), div(add(div(div(sub(Pr, E), LAS), E), add(div(neg(La), sub(M, E)), M)), mul(sub(R, Y), mul(Gd, Gd)))), M), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(R, E), E), E))), E))"
108,0.5139,38,"add(div(add(EN, div(neg(Y), sub(M, E))), mul(sub(R, Y), mul(LAS, LAS))), add(div(sub(Pr, E), add(div(sub(Pr, E), sub(neg(add(-1.620, E)), neg(div(Sm, IE)))), E)), E))"
109,0.5140,28,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(sub(La, Ce), E)), E))"
110,0.5141,43,"add(div(add(div(neg(La), sub(M, E)), EN), mul(sub(R, Y), mul(Gd, E))), add(div(sub(IE, E), add(div(add(div(neg(La), sub(M, E)), M), sub(R, Y)), E)), add(div(sub(Pr, E), E), E)))"
111,0.5146,39,"add(div(add(div(neg(La), sub(M, E)), Pr), mul(sub(R, Y), mul(Gd, Y))), add(div(sub(Pr, E), add(div(div(add(div(neg(La), sub(Pr, E)), E), E), sub(R, Y)), E)), E))"
112,0.5146,31,"add(div(add(div(div(neg(R), div(add(neg(E), M), R)), E), EN), mul(sub(R, Y), mul(Gd, Nd))), add(div(sub(Pr, E), add(-1.620, E)), E))"
113,0.5147,50,"add(div(sub(Sm, E), mul(sub(E, Nd), neg(add(div(sub(R, Y), sub(Sm, E)), E)))), add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Sm, E), mul(add(div(sub(Pr, E), mul(sub(E, Nd), neg(Nd))), E), neg(Ce))), E)))"
